Marca temporal,¿Qué dispositivo celular utilizas?,¿Cómo creas actualmente tu horario académico?  ,¿Qué tan difícil te resulta organizar tu horario académico cada cuatrimestre?  ,¿Cuánto tiempo te toma hacer tu horario académico?  ,¿Con qué frecuencia debes ajustar tu horario después de haberlo creado?  ,¿Utilizas actualmente alguna aplicación o herramienta digital para organizar tu horario?  (Aparte de la que te otorga la escuela),"Si no utilizas una aplicación, ¿te gustaría utilizar una para organizar tu horario?  ",¿Qué factor consideras más importante al organizar tu horario?  ,¿Qué dispositivo utilizarías más para acceder a la aplicación? ,¿Te gustaría que una aplicación te recomendara un horario personalizado basado en tus preferencias?  ,¿Cómo te gustaría que se presentaran los horarios en la aplicación?  ,¿Qué tan útil te parecería que la aplicación te recordara tus clases con notificaciones?  ,¿Estarías dispuesto/a a pagar por una aplicación que te ayude a crear tu horario académico?  ,¿Te gustaría que la aplicación te permitiera compartir tu horario con otros compañeros?  ,¿Qué tan probable es que uses una aplicación como la descrita para crear tu horario?  ,¿Qué tan importante es para ti que la aplicación tenga una interfaz sencilla y fácil de usar?  ,¿Consideras que una aplicación de este tipo te ayudaría a reducir el estrés relacionado con la creación de horarios?  ,¿Qué tan probable es que recomiendes una aplicación como esta a tus compañeros?  ,¿Te gustaría que la aplicación tuviera un chatbot para resolver dudas técnicas?,"¿Te gustaría que la aplicación incluyera estadísticas sobre tu carga académica, como el número de horas semanales de clase o el tiempo total dedicado a cada materia?  "
2024-09-17 23:24:59.033,Android,Usando herramientas de la institución.,Difícil.,Menos de 1 hora.,Nunca,No.,Sí.,Profesores específicos.,Teléfono móvil.,"Sí, podría ser útil.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.",Podría ser interesante.
2024-09-17 23:27:47.820,iOS,"Manualmente, revisando los horarios disponibles.",Difícil.,1-2 horas.,Nunca,No.,Sí.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, podría ser útil.",En formato de calendario semanal.,Moderadamente útil.,Sí.,"Sí, sería útil.",Muy probable.,Moderadamente importante.,"Sí, mucho.",Muy probable.,Podría ser interesante.,Podría ser interesante.
2024-09-17 23:44:26.440,iOS,Usando herramientas de la institución.,Moderado.,Menos de 1 hora.,Nunca,No.,Sí.,Disponibilidad de las materias.,Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Moderadamente útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-17 23:47:07.090,iOS,"Manualmente, revisando los horarios disponibles.",Moderado.,Menos de 1 hora.,Nunca,No.,Sí.,Tiempo entre clases.,Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,No.,"Sí, sería útil.",Probable.,Moderadamente importante.,Moderadamente.,Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-17 23:50:47.530,Android,Con la ayuda de aplicaciones externas.,Muy difícil.,2-4 horas.,Pocas veces (1-2 veces).,Sí.,Sí.,Tiempo entre clases.,Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Moderadamente importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-17 23:51:19.136,Android,Con la ayuda de aplicaciones externas.,Moderado.,Menos de 1 hora.,Pocas veces (1-2 veces).,No.,Tal vez.,"Compatibilidad con otras actividades (trabajo, vida personal).",Teléfono móvil.,"Sí, podría ser útil.",En una lista de materias y horarios.,Moderadamente útil.,Solo si el costo es bajo.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Moderadamente probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-17 23:51:29.513,iOS,"Manualmente, revisando los horarios disponibles.",Moderado.,1-2 horas.,Pocas veces (1-2 veces).,No.,Tal vez.,Tiempo entre clases.,Computadora portátil.,"No, prefiero hacerlo por mí mismo/a.",En una lista de materias y horarios.,Muy útil.,No.,"No, no lo necesito.",Probable.,Poco importante.,Moderadamente.,Poco probable.,Podría ser interesante.,Podría ser interesante.
2024-09-17 23:54:29.753,Android,Con la ayuda de aplicaciones externas.,Moderado.,Menos de 1 hora.,Pocas veces (1-2 veces).,Sí.,No.,Profesores específicos.,Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Poco útil.,No.,"Sí, sería útil.",Poco probable.,Muy importante.,"Sí, mucho.",Poco probable.,No lo necesito.,No lo necesito.
2024-09-17 23:57:15.010,Android,"Manualmente, revisando los horarios disponibles.",Difícil.,Menos de 1 hora.,Pocas veces (1-2 veces).,No.,Sí.,Tiempo entre clases.,Teléfono móvil.,"Sí, podría ser útil.",En una lista de materias y horarios.,Moderadamente útil.,Sí.,"Sí, sería útil.",Probable.,Muy importante.,Moderadamente.,Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
2024-09-17 23:57:42.164,Android,Usando herramientas de la institución.,Moderado.,1-2 horas.,Pocas veces (1-2 veces).,Sí.,Sí.,"Compatibilidad con otras actividades (trabajo, vida personal).",Teléfono móvil.,"Sí, definitivamente.",En formato de calendario semanal.,Muy útil.,Sí.,"Sí, sería útil.",Muy probable.,Muy importante.,"Sí, mucho.",Muy probable.,"Sí, sería muy útil.","Sí, sería muy útil."
