,¿Cuántos años tienes?,¿Con qué género te identificas?,¿A qué te dedicas actualmente?,¿En cual de las siguientes opciones prefieres anotar tus actividades?,"En una escala del 1 al 5, tomando en cuenta a 1 como muy raramente y 5 como muy frecuentemente, ¿cuán frecuentemente olvidas realizar tus actividades y tareas? ","En una escala del 1 al 5, tomando en cuenta a 1 como muy poco y 5 como muy cómodo/a, ¿Cómo tan cómodo/a te sientes al anotar tareas? ","Si tuvieras una aplicación para registrar todas tus actividades, ¿para qué ámbitos la usarías?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Cuánto crees que te ayudaría una aplicación móvil para anotar tus actividades en tu productividad? ","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Cuánto te gusta que tu equipo de trabajo tenga un chat de mensajes?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿te gustaría que tu equipo de trabajo pudiera ver tus avances individuales?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Cuánto te gustaría recibir notificaciones para recordarte las tareas pendientes?",¿De cuántas personas consta tu equipo de trabajo?,"En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿te gustaría organizar tus actividades por tipos o categorías?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿te gustaría dividir tus tareas en subtareas para monitorear tu progreso?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Cuánto consideras que una recomendación sobre el orden para realizar tus tareas te ayudaría a mejorar tu productividad?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿consideras que el no tener anotadas tus tareas contribuye a la procrastinación?",¿Cómo te gustaría monitorear los avances en tus actividades? ,"En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Cuánto te agrada obtener una gráfica de cómo fueron tus avances de productividad durante la semana?",¿Qué tipo de gráfica consideras que refleja mejor tus avances de tareas?,"En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Qué tan importante crees que sea identificar por colores las actividades completadas de las que no?","En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho,  ¿Qué tan importante crees que sería para ti que la aplicación ofrezca la opción de cambiar entre temas además del claro y oscuro?",¿Con qué color asocias más que una tarea está completada?,¿Con qué color asocias más que una tarea está en proceso o con avances?,¿Con qué color asocias más que una tarea está sin iniciar o no fue hecha?,"En una escala del 1 al 5, tomando en cuenta a 1 como nada y 5 como mucho, ¿Qué tan interesado estarías en utilizar una aplicación que te ayude a anotar y organizar tus actividades diarias, además de proporcionarte un seguimiento de tus progresos durante la semana?"
,21,Prefiero no decirlo,Estudiante,Página de internet,1,3,"Trabajo, Escuela, Salud, Personal",4,2,2,4,1-2 personas,5,5,5,2,Día,2,Histograma,5,5,Azul marino ,Amarillo,Azul ,4
,22,Maculino,Estudio y trabajo,Programa para celular,3,3,"Trabajo, Escuela, Personal",3,3,3,3,3-5 personas,3,3,3,3,Día,3,No utilizo gráficas,3,3,Verde,Naranja,Rojo,3
,22,Maculino,Estudiante,Programa para celular,3,4,"Trabajo, Escuela, Personal, Gestión del hogar",4,4,5,5,1-2 personas,4,5,4,5,Día,4,Lineal,5,2,Verde,Amarillo,Rojo,5
,19,Femenino,Estudiante,Programa para celular,2,4,"Trabajo, Escuela, Personal, Deportes",3,4,4,5,6-10 personas,5,5,5,5,Semana,3,Circular,5,5,Verde,Amarillo,Rojo,5
,20,Maculino,Estudiante,Libreta o agenda física,2,4,"Trabajo, Escuela, Personal, Gestión del hogar",3,4,4,5,3-5 personas,5,5,3,5,Semana,4,Barra,5,5,Verde,Naranja,Rojo,4
,21,Maculino,Estudiante,Programa para celular,5,3,"Trabajo, Escuela, Personal",5,5,4,5,3-5 personas,4,3,2,5,Día,4,Circular,4,3,Verde,Naranja,Gris,5
,20,Maculino,Estudiante,Programa para celular,4,3,Escuela,3,3,3,3,3-5 personas,3,3,3,3,Semana,3,Lineal,3,3,Amarillo,Celeste,Negro,3
,21,Maculino,Trabajador,Libreta o agenda física,2,5,Deportes,2,5,3,3,6-10 personas,4,3,4,5,Semana,5,Lineal,5,5,Verde,Amarillo,Gris,4
,24,Maculino,Estudiante,Programa para celular,2,4,"Escuela, Salud, Personal, Deportes",4,4,3,5,3-5 personas,3,3,3,4,Semana,3,Barra,5,5,Verde,Amarillo,Rojo,4
,21,Maculino,Estudiante,No anoto mis actividades,2,3,"Trabajo, Escuela, Personal",5,5,5,5,3-5 personas,4,5,4,3,Día,3,Solo con el porcentaje,5,5,Verde,Amarillo,Rojo,5
,20,Femenino,Estudiante,Programa para celular,5,2,"Escuela, Personal",3,5,4,5,3-5 personas,5,3,4,5,Semana,4,Barra,5,3,Verde,Amarillo,Rojo,3
,20,Maculino,Estudiante,Libreta o agenda física,2,5,"Trabajo, Escuela, Salud, Personal, Deportes, Gestión del hogar",5,5,3,5,3-5 personas,5,5,5,5,Semana,3,Circular,5,5,Blanco,Naranja,Rojo,5
,20,Femenino,Estudiante,Libreta o agenda física,1,4,"Trabajo, Escuela, Personal",4,3,3,5,3-5 personas,5,5,4,3,Día,4,Barra,5,5,Verde,Naranja,Rojo,4
